"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2021","11.50","11.50","11.70","11.50","10.96K","0.00%"
"05/04/2021","11.50","12.00","12.00","11.50","38.56K","-2.54%"
"05/03/2021","11.80","11.60","11.80","11.60","1.51K","-1.67%"
"04/30/2021","12.00","12.00","12.00","12.00","0.70K","0.00%"
"04/29/2021","12.00","12.50","12.50","12.00","19.28K","-2.44%"
"04/28/2021","12.30","11.60","12.60","11.60","4.33M","6.03%"
"04/27/2021","11.60","11.70","11.90","11.60","1.68K","-4.92%"
"04/23/2021","12.20","11.50","12.20","11.50","67.64K","6.09%"
"04/22/2021","11.50","11.60","12.20","11.20","96.30K","-6.50%"
"04/21/2021","12.30","11.90","12.30","11.60","30.42K","3.36%"
"04/20/2021","11.90","12.30","12.30","11.90","37.08K","-0.83%"
"04/19/2021","12.00","12.00","12.30","12.00","21.40K","0.00%"
"04/16/2021","12.00","12.00","12.20","12.00","16.72K","-0.83%"
"04/15/2021","12.10","12.30","12.30","12.10","3.01K","-1.63%"
"04/12/2021","12.30","12.00","12.40","11.90","32.57K","2.50%"
"04/09/2021","12.00","12.40","12.40","12.00","21.61K","0.00%"
"04/08/2021","12.00","11.70","12.50","11.70","86.95K","3.45%"
"04/07/2021","11.60","12.00","12.00","11.60","34.49K","0.00%"
"04/06/2021","11.60","12.00","12.00","11.40","69.85K","-0.85%"
"04/05/2021","11.70","11.70","11.70","11.50","50.70K","0.00%"
"04/01/2021","11.70","11.70","11.70","11.60","31.45K","-0.85%"
"03/31/2021","11.80","12.00","12.00","11.80","1.18M","1.72%"
"03/30/2021","11.60","11.80","11.80","11.60","1.00K","-3.33%"
"03/29/2021","12.00","11.80","12.00","11.60","95.00K","2.56%"
"03/26/2021","11.70","11.90","13.00","11.70","31.22K","-2.50%"
"03/25/2021","12.00","11.80","12.20","11.80","51.35K","2.56%"
